Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
5120000,123.697833,104.479555,106.040159,102.645580,112.887736,113.084144,131.581912,116.531661,118.473026,90.890055,100.818867,99.355390,100.495485,106.771960,107.226377,97.979759,105.496144,110.162155,88.628686,96.072845,98.571239,101.291162,107.431959,106.220147,96.251971,104.684103,109.552977,93.096257,96.945563,101.439004,102.932829,109.220334,106.520795,99.819843,108.851012,114.180742
5760000,124.289604,105.881460,106.480392,103.394228,113.783633,113.807362,132.982104,118.017118,119.965197,91.588063,100.524463,100.667287,101.382439,107.901467,108.128189,98.824300,107.070173,111.399278,89.746802,96.910983,99.077943,102.397389,107.903658,107.373323,97.366261,105.271027,110.129512,94.197630,98.317720,102.335046,104.093376,111.597817,107.523783,100.772963,109.696953,116.373026
6400000,133.201155,107.233209,109.202796,105.343328,116.000792,115.079273,137.774581,119.837623,122.471599,93.449513,101.977264,102.401873,103.638580,109.713169,109.936539,100.908494,108.573078,113.384184,90.885154,98.215629,100.591561,103.327257,111.116505,108.901335,99.091556,106.957491,114.281619,95.590896,99.556465,103.919800,105.132713,112.102461,109.776626,102.864448,110.931899,117.247241
12800000,147.829154,113.675837,117.302733,112.236597,127.748962,123.055976,152.958072,130.015832,140.006985,101.560159,108.289703,107.947099,109.479213,115.275636,115.957987,112.206018,114.744057,120.281654,102.645316,103.571608,106.513100,108.417223,116.443536,115.669371,107.090436,113.553337,118.811331,101.450250,105.666704,109.475071,110.500453,120.881825,116.068751,109.513421,116.850273,125.769453
19200000,165.628544,118.972390,124.426425,116.784481,139.049753,127.885287,162.647450,136.654218,143.773054,110.408891,112.980885,112.836755,114.368078,125.637272,120.318279,118.909252,120.375911,129.356608,103.905886,107.897289,110.122008,112.225036,120.704942,120.268500,112.493382,117.251834,123.000587,107.342460,110.163733,113.356225,114.694519,123.075679,120.149516,115.528527,120.786035,127.908445
25600000,164.318392,123.178537,129.477919,120.197981,148.883053,132.041434,166.377333,141.800252,149.396554,116.374421,116.205528,114.718698,114.282413,122.460437,122.883090,125.663496,121.979035,126.323347,105.613910,109.665948,112.751163,114.751163,122.936939,122.105341,114.848460,120.044698,125.757331,108.053427,111.134490,115.469276,116.555932,125.084145,121.989520,116.543318,123.698895,130.069534
32000000,183.625902,132.724000,134.563192,123.233897,154.540072,134.586821,180.391199,149.040062,156.766418,117.745001,117.695438,117.003309,117.010755,125.863640,124.830489,126.831511,124.799345,130.847148,109.746093,112.635574,115.047710,117.069729,125.706132,124.498871,120.216247,123.140014,129.481530,111.984792,113.957126,117.490593,119.593902,127.916843,124.790700,120.183528,126.165665,132.976344
38400000,182.046245,144.944884,137.401219,125.156678,162.956202,137.209431,189.554755,149.209761,159.939516,121.860749,120.133249,119.099879,118.190309,126.593007,126.011748,130.731985,126.830490,131.137989,111.714822,112.983907,115.641210,119.401227,130.359625,126.602662,121.997510,127.688947,133.408236,113.514248,114.833641,119.635522,120.560844,131.549796,126.122127,121.689818,126.826954,134.482563
44800000,198.508541,155.273328,142.046546,127.750830,166.440796,140.541255,205.761146,153.590609,164.057685,128.382576,122.512933,122.270881,120.788227,137.648042,129.321840,137.288548,129.398196,141.737478,116.286204,116.178201,118.775129,121.229458,129.232907,128.530722,126.335891,126.803664,131.992722,115.427147,116.617458,121.071960,122.735225,131.746929,128.005560,124.665110,128.984614,136.791735
51200000,202.942235,163.557218,146.797033,131.384420,170.969171,143.244799,213.245054,158.466945,167.132253,137.151013,128.019955,126.017809,124.374353,134.137565,133.158856,146.952683,134.515505,137.529317,120.920889,120.539748,121.066124,122.943429,131.943948,130.760479,130.516264,129.918759,134.874350,121.024958,121.381877,124.490519,124.925570,134.960906,132.398359,129.694643,133.294673,140.038295
57600000,223.940834,171.107783,152.246894,135.161152,177.022999,147.079101,226.355817,164.585224,172.644830,143.123039,131.591751,129.674337,130.115243,139.068140,136.956492,152.281682,137.660593,143.434438,128.264731,125.496283,127.739596,128.252529,142.246132,137.441507,138.118922,135.540873,145.732740,126.101743,126.576355,129.932482,131.821711,145.268056,138.290690,135.990225,138.723951,151.200041
64000000,235.852883,176.989973,158.574267,140.214721,186.708752,151.972355,234.380745,169.181529,178.643193,149.874243,137.207747,136.299494,134.441866,142.457651,140.668626,158.683151,144.842383,147.013598,134.874828,130.048375,135.126340,135.291260,144.054302,141.992381,146.715090,149.346365,148.184255,135.509904,132.832982,138.115036,139.337340,146.978672,143.304516,143.691084,146.399471,152.638819
128000000,385.235320,209.506590,199.608854,170.647883,223.890123,185.495313,304.148311,209.970521,221.944041,207.401260,179.050174,182.302436,175.469307,186.612977,182.087838,215.848904,192.803349,196.677040,197.359045,174.109260,175.416163,176.921292,184.891920,180.100201,201.172384,184.187377,187.544430,182.931380,176.126404,181.491998,177.734635,191.310906,187.078950,194.508949,191.011459,198.843496
192000000,458.731001,227.899403,218.778697,186.773417,244.051822,201.744112,345.605579,227.667130,238.763485,224.342463,193.377255,193.906963,191.368859,208.329716,198.935382,231.480406,204.759837,214.088331,211.875905,185.649190,194.069798,188.434839,212.908500,199.939738,219.594890,202.675622,211.264321,211.714056,191.948839,197.501189,197.465196,211.906497,206.150323,221.776034,206.814832,219.174604
256000000,505.825326,240.400413,232.201120,196.037888,264.086029,210.827943,394.983298,240.749412,253.239248,242.063746,204.420421,207.841313,199.253706,215.893730,205.555953,248.135071,219.621768,234.075663,233.600141,199.436402,203.172511,196.725823,215.319682,209.287440,238.403908,213.537160,225.429598,222.730313,202.566860,207.517719,204.896306,216.183937,209.875833,233.389748,220.512206,227.903546
