Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
70000000,143.044823,147.708413,155.606524,158.084701,163.521856,159.413509,157.810261,165.980496,158.164332,166.135160
76000000,147.277533,150.234745,158.334601,160.814872,165.377287,162.236487,160.254700,168.608077,160.543283,169.563168
82000000,148.847479,150.590164,159.243178,162.948352,166.792215,164.757304,161.705109,169.954923,161.667628,170.792466
88000000,151.365296,154.136535,161.644507,165.504329,169.809591,167.303324,164.400992,173.281893,164.077132,173.630890
94000000,153.055789,155.235776,163.461500,166.980885,173.496713,168.959932,165.932250,176.043098,166.198146,175.882801
100000000,154.370082,156.449288,164.427593,168.911262,172.773907,170.700187,167.140260,176.744104,166.774138,177.223539
170000000,176.165183,177.276477,187.446675,188.775894,195.298214,190.775066,186.465456,200.542615,187.144850,201.205135
240000000,185.332959,186.714657,195.795521,198.622647,206.635040,200.340543,197.109187,212.194804,197.417349,213.077444
310000000,192.467359,194.571775,203.619305,205.548767,215.064501,207.577237,205.602755,221.869374,206.921640,221.959612
380000000,194.772989,197.463270,206.962153,208.837181,218.869610,210.452671,208.316119,225.296799,208.689430,226.207473
450000000,196.888198,201.085246,211.336658,212.648016,223.055896,213.810125,213.211923,230.626903,212.769337,230.716234
520000000,197.528091,202.812662,213.200055,214.136270,225.565487,215.773361,215.696773,232.577957,214.751845,233.388604
590000000,200.978561,206.519038,216.773147,217.556825,229.870460,219.196725,220.084608,238.969159,218.286060,237.888630
660000000,202.321870,208.826035,219.098380,219.177388,232.511115,221.477609,222.303749,240.403550,220.696658,240.871669
730000000,203.552965,209.591851,220.756466,221.303211,234.651828,223.108770,224.350314,242.742812,222.514917,242.804685
800000000,202.794718,209.356808,220.566524,221.411513,234.656025,222.984598,224.586330,242.313180,222.338744,243.273160
870000000,205.027826,211.809650,223.746867,224.433901,238.114763,226.749203,228.596851,246.154512,225.233120,246.568480
940000000,205.518081,211.455769,223.715036,223.724974,238.363900,225.841223,229.476068,247.056623,225.441372,247.214132
1000000000,208.372607,211.315283,223.813226,224.011566,238.940964,225.969887,229.648694,247.090412,225.489055,247.579356
1800000000,209.966460,217.561554,231.951650,231.599378,249.830877,234.025680,240.369609,257.747074,232.853929,258.186159
2600000000,217.158409,226.497129,241.294734,242.021202,260.921018,244.795182,250.464916,267.163343,242.160347,269.356470
3400000000,213.958199,222.666938,239.039816,239.072847,259.815067,241.917940,249.807668,267.832331,240.181452,268.368103
